File,NFIQ_Score
101_1,2
101_2,1
101_3,2
101_4,1
101_5,1
101_6,2
101_7,1
101_8,3
102_1,1
102_2,1
102_3,2
102_4,1
102_5,1
102_6,1
102_7,2
102_8,2
103_1,1
103_2,2
103_3,1
103_4,1
103_5,1
103_6,1
103_7,1
103_8,2
104_1,1
104_2,1
104_3,3
104_4,2
104_5,1
104_6,1
104_7,2
104_8,1
105_1,3
105_2,1
105_3,2
105_4,1
105_5,2
105_6,3
105_7,1
105_8,1
106_1,2
106_2,1
106_3,2
106_4,2
106_5,2
106_6,2
106_7,2
106_8,2
107_1,1
107_2,1
107_3,1
107_4,1
107_5,1
107_6,1
107_7,3
107_8,1
108_1,2
108_2,1
108_3,1
108_4,1
108_5,2
108_6,2
108_7,2
108_8,1
109_1,2
109_2,3
109_3,1
109_4,1
109_5,1
109_6,3
109_7,3
109_8,2
110_1,3
110_2,3
110_3,2
110_4,2
110_5,2
110_6,3
110_7,3
110_8,3
