101_1.wsq: is A; nn: hyp R, conf 0.56; conup n; hyp R, conf 0.56; wrong
101_2.wsq: is A; nn: hyp R, conf 0.66; conup n; hyp R, conf 0.66; wrong
101_3.wsq: is A; nn: hyp R, conf 0.48; conup n; hyp R, conf 0.48; wrong
101_4.wsq: is A; nn: hyp L, conf 0.26; conup n; hyp L, conf 0.26; wrong
101_5.wsq: is A; nn: hyp R, conf 0.51; conup n; hyp R, conf 0.51; wrong
101_6.wsq: is A; nn: hyp R, conf 0.54; conup n; hyp R, conf 0.54; wrong
101_7.wsq: is A; nn: hyp L, conf 0.28; conup n; hyp L, conf 0.28; wrong
101_8.wsq: is A; nn: hyp R, conf 0.45; conup n; hyp R, conf 0.45; wrong
102_1.wsq: is A; nn: hyp R, conf 0.64; conup n; hyp R, conf 0.64; wrong
102_2.wsq: is A; nn: hyp R, conf 1.00; conup n; hyp R, conf 1.00; wrong
102_3.wsq: is A; nn: hyp R, conf 0.98; conup n; hyp R, conf 0.98; wrong
102_4.wsq: is A; nn: hyp R, conf 1.00; conup n; hyp R, conf 1.00; wrong
102_5.wsq: is A; nn: hyp R, conf 1.00; conup n; hyp R, conf 1.00; wrong
102_6.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
102_7.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
102_8.wsq: is A; nn: hyp R, conf 0.85; conup n; hyp R, conf 0.85; wrong
103_1.wsq: is A; nn: hyp L, conf 0.96; conup n; hyp L, conf 0.96; wrong
103_2.wsq: is A; nn: hyp L, conf 0.94; conup n; hyp L, conf 0.94; wrong
103_3.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
103_4.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
103_5.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
103_6.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
103_7.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
103_8.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
104_1.wsq: is A; nn: hyp L, conf 0.98; conup n; hyp L, conf 0.98; wrong
